"Lastname","Gender","Sherpa","Nation","Year","Reason"
"Hockey","m","","AUS","2005",""
"Karsang Namgyal/Namgel","m","Sherpa","NEP","2005",""
"Lhakpa Iv (Kongle)","m","Sherpa","NEP","2005",""
"Mingma Nuru Iv","m","Sherpa","NEP","2005",""
"Miotk","m","","POL","2005",""
"Nima Dorje Iv","m","Sherpa","NEP","2005",""
"Nima Tshering I (Ngima Chhiri)","m","Sherpa","NEP","2005",""
"Norbu Dhondup (Norbu Zhandu)","m","","CHN","2005",""
"Pemba Tshering Iv","m","Sherpa","NEP","2005",""
"Phurbu Tsering I","m","","CHN","2005",""
"Rosset","m","","ITA","2005",""
"Shimada","f","","JAP","2005",""
"Smaller (B Sannaes)","f","","NOR","2005",""
"Son Dorje","m","Sherpa","NEP","2005",""
"Staples","m","","NZ","2005",""
"Tashi Thundup (Tashi Thundu)","m","Sherpa","NEP","2005",""
"Tenji I (Tenzing)","m","Sherpa","NEP","2005",""
"Thumba (Dompa)","m","","CHN","2005",""
"Trabucchi","m","","ITA","2005",""
"Willis","f","","IRE","2005",""
"Egan","m","","CAN","2005","other"
"O'brien","m","","USA","2005","Fall"
"Litheneker","m","","SLO","2005","Fall"
"Chaitanya","m","","IND","2005","Fall"
"Kramer","m","","GER","2005","other"
"Milne","m","","UK","2005","other"
"Dorje Sonam Gyalzen","m","Sherpa","NEP","2006",""
"Phurba Tashi","m","Sherpa","NEP","2006",""
"Son Dorje","m","Sherpa","NEP","2006",""
"Tashi Phinzo 1","m","","CHN","2006",""
"Tashi Tshering (Zhaxi Ciren) 3","m","","CHN","2006",""
"Tenzing (Den Zeng)","m","","CHN","2006",""
"Bagnulo","m","","USA","2006",""
"Dawa Nuru Ii (Dawa Norbu)","m","Sherpa","NEP","2006",""
"Dijmarescu","m","","USA","2006",""
"Kama Chhiring","m","Sherpa","NEP","2006",""
"Lakpa","f","","NEP","2006",""
"Lee","m","","SK","2006",""
"Oh","m","","SK","2006",""
"Park","m","","SK","2006",""
"Pasang Tharke Ii","m","Sherpa","NEP","2006",""
"Sherap Jangbu (Serap Jangbu)","m","Sherpa","NEP","2006",""
"Thendorje (Thendu Dorje)","m","Sherpa","NEP","2006",""
"Watson","m","","USA","2006",""
"Gyaluk (Gyalu Lama)","m","Sherpa","NEP","2006",""
"Jackson","m","","USA","2006",""
"Ang Kami Iv","m","Sherpa","NEP","2006",""
"Bach","m","","CH","2006",""
"Chen","m","","CHN","2006",""
"Chen","m","","CHN","2006",""
"Crouse","m","","USA","2006",""
"Dorje Karsang","m","","CHN","2006",""
"Golovdorj","m","","MON","2006",""
"Hefti","m","","CH","2006",""
"Jin","m","","CHN","2006",""
"Jin","m","","CHN","2006",""
"Karsang Namgyal/Namgel","m","Sherpa","NEP","2006",""
"Lobsang Temba","m","Sherpa","NEP","2006",""
"Maithani","m","","IND","2006",""
"Nawang Dorjey","m","","IND","2006",""
"Ngawang Dhondup","m","","CHN","2006",""
"Ngawang Norbu (Awang Luobo)","m","","CHN","2006",""
"Ngawang Tashi (Awang Zhaxi)","m","","CHN","2006",""
"O'connor","m","","USA","2006",""
"Ongda Gyalzen","m","Sherpa","IND","2006",""
"Pasang Tenzing","m","Sherpa","IND","2006",""
"Pema Chhosang","m","Sherpa","NEP","2006",""
"Pemba Dhondup (Bianba Dunzhu)","m","","CHN","2006",""
"Phinjo (Phuntsok)","m","","CHN","2006",""
"Phura Nuru I","m","Sherpa","NEP","2006",""
"Phurbu Dhondup (Big)","m","","CHN","2006",""
"Rao","m","","CHN","2006",""
"Sauls","m","","USA","2006",""
"Singh","m","","IND","2006",""
"Singh","m","","IND","2006",""
"Sri Krishan","m","","IND","2006",""
"Tashi Tshering (Zhaxi Ciren) 2","m","","CHN","2006",""
"Tashi Tshering (Zhaxi Ciren) 3","m","","CHN","2006",""
"Tsering Dorje Ii (Cering Doje)","m","","CHN","2006",""
"Tsering Wangmu","f","","CHN","2006",""
"Wangchen Sonam (Wangqing Sonam)","m","","CHN","2006",""
"Wangchuk","m","Sherpa","IND","2006",""
"Wangdu I (Big)","m","","CHN","2006",""
"Abenójar","m","","PHI","2006",""
"Alexander","m","","NZ","2006",""
"Büyükatalay","m","","TUR","2006",""
"Chaya","m","","LEB","2006",""
"Dorje (Small)","m","","CHN","2006",""
"Dorje Khatri","m","","NEP","2006",""
"Dorje Sonam Gyalzen","m","Sherpa","NEP","2006",""
"Girgin","m","","TUR","2006",""
"Hutson","m","","UK","2006",""
"Indra Bahadur Rai","m","","NEP","2006",""
"Inglis","m","","NZ","2006",""
"Kami I (Kame)","m","Sherpa","NEP","2006",""
"Kami Singee Tamang","m","","NEP","2006",""
"Killip","m","","AUS","2006",""
"Lakpa Nuru","m","Sherpa","NEP","2006",""
"Lande","m","","RUS","2006",""
"Lhakpa Nuru Viii","m","Sherpa","NEP","2006",""
"Maviş (B Koç)","f","","TUR","2006",""
"Nawang Tenzing Ii (Nawangle)","m","Sherpa","NEP","2006",""
"Nima Nuru Ii (Ngima Nuru)","m","Sherpa","NEP","2006",""
"Nima Ongdi","m","Sherpa","NEP","2006",""
"Pasang Tshering I (Pasang Tshiring)","m","Sherpa","NEP","2006",""
"Phurtse (Phurbu Tsering)","m","","CHN","2006",""
"Son Dorje","m","Sherpa","NEP","2006",""
"Tashi Phinzo 1","m","","CHN","2006",""
"Tenzing (Den Zeng)","m","","CHN","2006",""
"Tharumalingam","m","","MY","2006",""
"Tshering Jangbu","m","Sherpa","NEP","2006",""
"Ulkenli","m","","TUR","2006",""
"Wangdu Iii (Small)","m","","CHN","2006",""
"Whetu","m","","NZ","2006",""
"Woodward","m","","NZ","2006",""
"Yamashita","m","","JAP","2006",""
"Ang Babu (Jimba Zangbu)","m","Sherpa","NEP","2006",""
"Ang Tshering Iii","m","Sherpa","NEP","2006",""
"Granheim","m","","NOR","2006",""
"Jumik Bhote","m","","NEP","2006",""
"Jung","m","","SK","2006",""
"Kang","m","","SK","2006",""
"Kim","m","","SK","2006",""
"Kim","m","","SK","2006",""
"Kim","m","","SK","2006",""
"Ko","m","","SK","2006",""
"Lama Babu I","m","Sherpa","NEP","2006",""
"Lee","m","","SK","2006",""
"Lee","m","","SK","2006",""
"Lee","m","","SK","2006",""
"Letzter","m","","SWE","2006",""
"Lobchong (Lobsang) I","m","","CHN","2006",""
"Mingma Thinduk I","m","Sherpa","NEP","2006",""
"Nima Dorje V","m","Sherpa","NEP","2006",""
"Nima Nuru I (Nima Norbu)","m","Sherpa","NEP","2006",""
"Nima Tenji Ii","m","Sherpa","NEP","2006",""
"Olsson","m","","SWE","2006",""
"Pasang Rita I","m","Sherpa","NEP","2006",""
"Pemba Nuru Iii","m","Sherpa","NEP","2006",""
"Peme","m","Sherpa","NEP","2006",""
"Seo","m","","SK","2006",""
"Sundström","m","","SWE","2006",""
"Tashi Lhakpa","m","Sherpa","NEP","2006",""
"Tenzing Ii (Tenjen)","m","Sherpa","NEP","2006",""
"Thilen","m","Sherpa","NEP","2006",""
"Tisalema","m","","ECU","2006",""
"Tshering Palden (Pande) Bhote","m","","NEP","2006",""
"Ali Khan","m","","IND","2006",""
"Ang Phurba V","m","Sherpa","NEP","2006",""
"Ang Sonam (Pasang Sona)","m","Sherpa","NEP","2006",""
"Ang Temba I","m","Sherpa","NEP","2006",""
"Arayama","m","","JAP","2006",""
"Arnold","m","","CH","2006",""
"Buendia","m","","E","2006",""
"Bullock","m","","UK","2006",""
"Cardo","m","","E","2006",""
"Cardona","m","","E","2006",""
"Changba Nurbu (Chongba Nuru)","m","Sherpa","NEP","2006",""
"Checa","m","","E","2006",""
"Cheddar","m","Sherpa","NEP","2006",""
"Cool","m","","UK","2006",""
"Corrigan","m","","UK","2006",""
"Dawa Gyalje (Dawa Gyalzen)","m","Sherpa","NEP","2006",""
"Dawa Tenzin (Dawa Tenji)","m","Sherpa","NEP","2006",""
"Dawa Tshering Iii (Dawa Chhiri)","m","Sherpa","NEP","2006",""
"De Bare De Comogne","m","","BEL","2006",""
"Elliot","m","","UK","2006",""
"Endo","m","","JAP","2006",""
"Escobar","m","","BOL","2006",""
"Ferrer","m","","E","2006",""
"Flos","m","","E","2006",""
"Gauntlett","m","","UK","2006",""
"Harrod","m","","UK","2006",""
"Hassard","m","","UK","2006",""
"Hedrich","m","","F","2006",""
"Hill","m","","USA","2006",""
"Hodge","m","","UK","2006",""
"Hooper","m","","UK","2006",""
"Invernizzi","m","","F","2006",""
"Jangbu V","m","Sherpa","NEP","2006",""
"Jangbu Vi","m","Sherpa","NEP","2006",""
"Jijón","m","","ECU","2006",""
"Jones","m","","UK","2006",""
"Journet","m","","F","2006",""
"Kami Iii","m","Sherpa","NEP","2006",""
"Kami Rita Ii","m","Sherpa","NEP","2006",""
"Kamikomaki","m","","JAP","2006",""
"Karsang","m","Sherpa","NEP","2006",""
"Kim","m","","SK","2006",""
"Kitamura","m","","JAP","2006",""
"Kondo","m","","JAP","2006",""
"Kumar","m","","IND","2006",""
"Kunga","m","Sherpa","NEP","2006",""
"Letrange","m","","F","2006",""
"Lhakpa I","m","Sherpa","NEP","2006",""
"Lhakpa Dorje Iii","m","Sherpa","NEP","2006",""
"Lhakpa Tshering Iv (Lhakpa Tshiri)","m","Sherpa","NEP","2006",""
"Lila Bahadur Tamang","m","","NEP","2006",""
"Martinez","m","","F","2006",""
"Mcnaughton","m","","UK","2006",""
"Mingma Nuru Ii","m","Sherpa","NEP","2006",""
"Mingma Nuru Iv","m","Sherpa","NEP","2006",""
"Mingma Temba","m","Sherpa","NEP","2006",""
"Namgyal I (Namgya)","m","Sherpa","NEP","2006",""
"Nga Tenji","m","Sherpa","NEP","2006",""
"Ngima Dorchi","m","Sherpa","NEP","2006",""
"Nima Gyalzen Iii","m","Sherpa","NEP","2006",""
"Nima Tendu (Nima Thenduk)","m","Sherpa","NEP","2006",""
"Ogawa","m","","JAP","2006",""
"Oracion","m","","PHI","2006",""
"Owen","m","","UK","2006",""
"Pasang Kitar (Pasang Kidar)","m","Sherpa","NEP","2006",""
"Pasang Tendi Ii","m","Sherpa","NEP","2006",""
"Pasang Tenzing Ii","m","Sherpa","NEP","2006",""
"Peacock","m","","UK","2006",""
"Pema Chhiring (Pema Chhiri)","m","Sherpa","NEP","2006",""
"Pemba Chhoti Ii","m","Sherpa","NEP","2006",""
"Pemba Gyalzen Iii (Pemba Geljen)","m","Sherpa","NEP","2006",""
"Pemba Tenjin","m","Sherpa","NEP","2006",""
"Phura Nuru Ii","m","Sherpa","NEP","2006",""
"Salter","m","","UK","2006",""
"Sangay Furi","m","Sherpa","IND","2006",""
"Shin","m","","SK","2006",""
"Shtirmer","m","","ISR","2006",""
"Singh","m","","IND","2006",""
"Sonam Dorje","m","Sherpa","NEP","2006",""
"Tashi Chhiring","m","Sherpa","NEP","2006",""
"Temba I","m","Sherpa","NEP","2006",""
"Thundu","m","Sherpa","NEP","2006",""
"Tul Bahadur Tamang","m","","NEP","2006",""
"Welsh","m","","UK","2006",""
"Yajima","m","","JAP","2006",""
"Yamada","m","","JAP","2006",""
"Adamski","m","","POL","2006",""
"Ang Pemba I","m","Sherpa","NEP","2006",""
"Botha","m","","CAN","2006",""
"Bouchet","m","","F","2006",""
"Brocklebank","f","","UK","2006",""
"Büel","m","","CH","2006",""
"Calafat","m","","E","2006",""
"Carrey","m","","CAN","2006",""
"Chewang Dorje Ii","m","Sherpa","NEP","2006",""
"Clement","m","","USA","2006",""
"Clowes","m","","UK","2006",""
"Clowes","m","","UK","2006",""
"Da Gelje","m","Sherpa","NEP","2006",""
"Da Nima","m","Sherpa","NEP","2006",""
"Dawa Chhiri Ii (Dawa Tsiri)","m","Sherpa","NEP","2006",""
"Dawa Nuru I (Da Nuru)","m","Sherpa","NEP","2006",""
"Dayula","m","Sherpa","NEP","2006",""
"Deechen Narjup (Dechen Ngodup)","m","","CHN","2006",""
"Diego","m","","E","2006",""
"Dorje I","m","Sherpa","NEP","2006",""
"Dorje Lama","m","Sherpa","NEP","2006",""
"Emata","m","","PHI","2006",""
"Ermachek","m","","RUS","2006",""
"Falahey","m","","AUS","2006",""
"Feijoo","m","","E","2006",""
"Flock","m","","GER","2006",""
"Fojtík","m","","CZE","2006",""
"Garcia","m","","USA","2006",""
"Garranzo","m","","E","2006",""
"Imparato","m","","F","2006",""
"Julen","m","","CH","2006",""
"Kami Tshering (Ang Chhiring)","m","Sherpa","NEP","2006",""
"Karma Gyalzen Ii","m","Sherpa","NEP","2006",""
"Karma Rita","m","Sherpa","NEP","2006",""
"Kobielski","m","","POL","2006",""
"Kwak","f","","SK","2006",""
"Laserer","m","","A","2006",""
"Lee","m","","SK","2006",""
"Lhakpa V","m","Sherpa","NEP","2006",""
"Lhakpa Gyalzen Ii","m","Sherpa","NEP","2006",""
"Lhakpa Nurbu","m","Sherpa","NEP","2006",""
"Lhakpa Thundu I","m","Sherpa","NEP","2006",""
"Lhakpa Tshering Ii (Lhakpa Chhiring)","m","Sherpa","NEP","2006",""
"Martín-Sanz","m","","E","2006",""
"Mcguinness","m","","NZ","2006",""
"Merle","m","","USA","2006",""
"Mingma Tshering Iv","m","Sherpa","NEP","2006",""
"Muktu Lhakpa","m","Sherpa","NEP","2006",""
"Namgyal Ii","m","Sherpa","NEP","2006",""
"Negrete","m","","BRA","2006",""
"Nima Kancha I","m","Sherpa","NEP","2006",""
"Nima Karma","m","Sherpa","NEP","2006",""
"Norbu Dhondup (Norbu Zhandu)","m","","CHN","2006",""
"Ogrodnik","m","","POL","2006",""
"Olivieri","m","","E","2006",""
"Pacey","m","","AUS","2006",""
"Park","m","","SK","2006",""
"Pasang Dawa I (Pa Dawa, Pando)","m","Sherpa","NEP","2006",""
"Pasang Nuru Ii (Ang Nuru, Ang Nurbu)","m","Sherpa","NEP","2006",""
"Pasang Nuru Iii","m","Sherpa","NEP","2006",""
"Pasang Temba Iv","m","Sherpa","NEP","2006",""
"Pemba Nuru Ii (Kaila)","m","Sherpa","NEP","2006",""
"Pemba Rinji Ii","m","Sherpa","NEP","2006",""
"Pérez","m","","E","2006",""
"Phur Tenji","m","Sherpa","NEP","2006",""
"Pomfret","m","","UK","2006",""
"Riggs","f","","USA","2006",""
"Samduk (Sanduk) Dorje Tamang","m","","NEP","2006",""
"Sanderson (B Cooney)","f","","UK","2006",""
"Sanderson","m","","UK","2006",""
"Selamolela","m","","SA","2006",""
"Squirrell","m","","AUS","2006",""
"Temba Ii","m","Sherpa","NEP","2006",""
"Tenzing Dorje","m","Sherpa","NEP","2006",""
"Tshering Namgyal (Ang Namgyal)","m","Sherpa","NEP","2006",""
"Wojciechowska","f","","POL","2006",""
"Yaniv","m","","ISR","2006",""
"Yifrah","m","","ISR","2006",""
"Załuski","m","","POL","2006",""
"Ang Dorje Ii (Chuldim Dorje)","m","Sherpa","NEP","2006",""
"Ang Pasang Iii","m","Sherpa","NEP","2006",""
"Apa (Appa)","m","Sherpa","NEP","2006",""
"Bell","m","","UK","2006",""
"Boscarioli (B Teixeira)","f","","BRA","2006",""
"Chandler","m","","UK","2006",""
"Cotter","m","","NZ","2006",""
"Danenberg","f","","USA","2006",""
"Dawa Jangbu I (Da Jangbu I)","m","Sherpa","NEP","2006",""
"Garduce","m","","PHI","2006",""
"Harvey","m","","NZ","2006",""
"Kim","m","","USA","2006",""
"Kuo","m","","TAI","2006",""
"Lee","m","","SK","2006",""
"Lhakpa Chhiri I (Sonam)","m","Sherpa","NEP","2006",""
"Lhakpa Dorje Iv","m","Sherpa","NEP","2006",""
"Lhakpa Nuru V","m","Sherpa","NEP","2006",""
"Lhakpa Rangdu","m","Sherpa","NEP","2006",""
"Mingma Tshering Iii (Mingma Chhiring)","m","Sherpa","NEP","2006",""
"Nawang Lhakpa (Ngawang Lhakpa)","m","Sherpa","NEP","2006",""
"Panuru (Pasang Nuru, Pa Nuru)","m","Sherpa","NEP","2006",""
"Pasang Iv (Pasang Gyalzen)","m","Sherpa","NEP","2006",""
"Pasang V","m","Sherpa","NEP","2006",""
"Pasang Bhote I (Pasang Lama Bhote)","m","","NEP","2006",""
"Pasang Temba Ii","m","Sherpa","NEP","2006",""
"Phu Tashi I","m","Sherpa","NEP","2006",""
"Saunders","m","","UK","2006",""
"Staples","m","","NZ","2006",""
"Tashi Thundup (Tashi Thundu)","m","Sherpa","NEP","2006",""
"Thile Nurbu (Thile Nuru)","m","Sherpa","NEP","2006",""
"Ang Chuldim","m","Sherpa","NEP","2006",""
"Bounthiyal","m","","IND","2006",""
"Chuwang Nima (Chhewang Nima)","m","Sherpa","NEP","2006",""
"Dahal","m","","IND","2006",""
"Dawa Nuru Iii (Danuru)","m","Sherpa","NEP","2006",""
"Dharmshaktu","m","","IND","2006",""
"Kami Rita I (Topke)","m","Sherpa","NEP","2006",""
"Koranga","m","","IND","2006",""
"Lhakpa Rita I","m","Sherpa","NEP","2006",""
"Lohia","m","","IND","2006",""
"Mingma Chhiri I (Mingma Chhiring)","m","Sherpa","NEP","2006",""
"Mingma Tenzing Ii","m","Sherpa","NEP","2006",""
"Moro","m","","ITA","2006",""
"Morton","m","","USA","2006",""
"Nance","f","","USA","2006",""
"Nichols","m","","USA","2006",""
"Nima Kancha Ii","m","Sherpa","NEP","2006",""
"Nima Tshering I (Ngima Chhiri)","m","Sherpa","NEP","2006",""
"Pemba Tshering Iv","m","Sherpa","NEP","2006",""
"Phura Kancha (Fur Kancha)","m","Sherpa","NEP","2006",""
"Pirenne","m","","BEL","2006",""
"Rawat","m","","IND","2006",""
"Rita Dorje (Ang Rita Dorje)","m","Sherpa","NEP","2006",""
"Sutcliffe","m","","UK","2006",""
"Tejas","m","","USA","2006",""
"Thukten Dorje","m","Sherpa","NEP","2006",""
"Tshering Dorje I","m","Sherpa","NEP","2006",""
"Tshering Phinjo","m","Sherpa","NEP","2006",""
"Walsh","f","","USA","2006",""
"Winkler","m","","A","2006",""
"Ang Pemba Ii","m","Sherpa","NEP","2006",""
"Chhiri (Ang Chiring)","m","Sherpa","NEP","2006",""
"Dawa Tenzing Iii","m","Sherpa","NEP","2006",""
"Faulkner","m","","UK","2006",""
"Gariano","m","","UK","2006",""
"Hanna","m","","UK","2006",""
"Kagan","m","","BLR","2006",""
"Karma Gyalzen Iii","m","Sherpa","NEP","2006",""
"Kofanov","m","","RUS","2006",""
"Lhakpa Nuru Ii","m","Sherpa","NEP","2006",""
"Lindaas","m","","USA","2006",""
"Lutov","m","","BLR","2006",""
"Madison","m","","USA","2006",""
"Malli","m","","IND","2006",""
"Mingma Dorje Vii","m","Sherpa","NEP","2006",""
"Mingma Gelu","m","Sherpa","NEP","2006",""
"Nima I","m","Sherpa","NEP","2006",""
"Olsen","m","","DK","2006",""
"Pasang Gyalzen I","m","Sherpa","NEP","2006",""
"Pasang Temba Iii (Pasang)","m","Sherpa","NEP","2006",""
"Richards (B Eichner)","f","","USA","2006",""
"Richards","m","","USA","2006",""
"Rinjen","m","Sherpa","NEP","2006",""
"Rouan","m","","UK","2006",""
"Ryzhenko","m","","RUS","2006",""
"Stern","m","","USA","2006",""
"Sutherland","m","","UK","2006",""
"Svergun","m","","UKR","2006",""
"Tenji I (Tenzing)","m","Sherpa","NEP","2006",""
"Tshering Tashi I","m","Sherpa","NEP","2006",""
"Wangchu Ii","m","Sherpa","NEP","2006",""
"Wheatley","m","","UK","2006",""
"Dawa Ii","m","Sherpa","NEP","2006",""
"Adler (B Harrington)","f","","AUS","2006",""
"Ang Karma Ii","m","Sherpa","NEP","2006",""
"Ang Namgyal","m","Sherpa","NEP","2006",""
"Ang Phuri Gyalzen","m","Sherpa","NEP","2006",""
"Arita","m","Sherpa","NEP","2006",""
"Cross","m","","USA","2006",""
"Dawa Nurbu I (Danuru)","m","Sherpa","NEP","2006",""
"Dawa Nuru Iii (Danuru)","m","Sherpa","NEP","2006",""
"Doma Chhiri","m","Sherpa","NEP","2006",""
"Hahn","m","","USA","2006",""
"Kellner","m","","USA","2006",""
"Khoo","m","","SIN","2006",""
"Lhakpa Nuru Ix","m","Sherpa","NEP","2006",""
"Loh","m","","MY","2006",""
"Mingma Ongel I (Sonam Gyalzen)","m","Sherpa","NEP","2006",""
"Nawang Pasang Ii","m","Sherpa","NEP","2006",""
"Nga Temba I (Ngatemba)","m","Sherpa","NEP","2006",""
"Pasang Nuru I (Nawang Lobsang)","m","Sherpa","NEP","2006",""
"Pasang Rinji I","m","Sherpa","NEP","2006",""
"Phinzo Ii (Phinjo)","m","Sherpa","NEP","2006",""
"Smith","f","","USA","2006",""
"Tel'puk","m","","BLR","2006",""
"Totmyanin","m","","RUS","2006",""
"Tumminello","m","","USA","2006",""
"Ang Phuri Ii (Phuri)","m","Sherpa","NEP","2006",""
"Benítez","m","","USA","2006",""
"Chhepi (Chumbi) Bhote","m","","NEP","2006",""
"Cihan","m","","TUR","2006",""
"De La Harpe","m","","SA","2006",""
"Disney","m","","SA","2006",""
"Follows","m","","CAN","2006",""
"Gagne","m","","USA","2006",""
"Griffith","m","","CAN","2006",""
"Lhakpa Ii","m","Sherpa","NEP","2006",""
"Lhakpa Nuru Viii","m","Sherpa","NEP","2006",""
"Lhakpa Tenzing Ii","m","Sherpa","NEP","2006",""
"Lhakpa Tharke","m","Sherpa","NEP","2006",""
"Lhakpa Tshering Vi","m","Sherpa","NEP","2006",""
"Maviş","m","","TUR","2006",""
"Maya","f","","NEP","2006",""
"Moffat","m","","NZ","2006",""
"Morley","m","","UK","2006",""
"Nang Chombi (Nang Chhemi)","m","Sherpa","NEP","2006",""
"Nawang Karsang Ii","m","Sherpa","NEP","2006",""
"Negi","m","","IND","2006",""
"Nima Nuru Ii (Ngima Nuru)","m","Sherpa","NEP","2006",""
"Ozmine","f","","TUR","2006",""
"Pasang Bhote Ii","m","","NEP","2006",""
"Pasang Gelu I","m","Sherpa","NEP","2006",""
"Pasang Tenzing I","m","Sherpa","NEP","2006",""
"Pemba Chhoti I","m","Sherpa","NEP","2006",""
"Pemba Dorje I","m","Sherpa","NEP","2006",""
"Pemba Gyalzen I (Pemba Gyalje)","m","Sherpa","NEP","2006",""
"Pemba Gyalzen Iv","m","Sherpa","NEP","2006",""
"Pemba Gyalzen V","m","Sherpa","NEP","2006",""
"Phurba Ridar Bhote","m","","NEP","2006",""
"Phurba Temba I (Lama Thami)","m","Sherpa","NEP","2006",""
"Poçan","f","","TUR","2006",""
"Poçan","m","","TUR","2006",""
"Sandling","f","","UK","2006",""
"Sange Dorje","m","Sherpa","NEP","2006",""
"Sonam Bhote","m","","NEP","2006",""
"Stanmore","m","","CAN","2006",""
"Tashi Tendu","m","Sherpa","NEP","2006",""
"Tashi Tshering I","m","Sherpa","NEP","2006",""
"Yilmaz","f","","TUR","2006",""
"Bagley","f","","USA","2006",""
"Calder","m","","UK","2006",""
"Casserley","m","","UK","2006",""
"Chewang Palden","m","Sherpa","NEP","2006",""
"Colquhoun","m","","AUS","2006",""
"Crausaz","m","","ECU","2006",""
"Dawa Gyalzen I (Da Gyalzen)","m","Sherpa","NEP","2006",""
"Dawa Tenjen","m","Sherpa","NEP","2006",""
"Dorje Vi","m","Sherpa","NEP","2006",""
"Frankelius","m","","SWE","2006",""
"Hall","m","","AUS","2006",""
"Hayes","m","","UK","2006",""
"Jangbu Vii","m","Sherpa","NEP","2006",""
"Kami Iv","m","Sherpa","NEP","2006",""
"Klinke","m","","USA","2006",""
"Lakcha Sange","m","Sherpa","NEP","2006",""
"Lhakpa Thundu I","m","Sherpa","NEP","2006",""
"Mindu Chhiri","m","Sherpa","NEP","2006",""
"Nima Chhiri","m","Sherpa","NEP","2006",""
"Parmenter","f","","USA","2006",""
"Pasang Dawa I (Pa Dawa, Pando)","m","Sherpa","NEP","2006",""
"Pasang Gelu Ii","m","Sherpa","NEP","2006",""
"Pasang Gombu","m","Sherpa","NEP","2006",""
"Pemba Nurbu I","m","Sherpa","NEP","2006",""
"Pemba Rinjin","m","Sherpa","NEP","2006",""
"Pemba Tshering Iii (Pemba Chhiri)","m","Sherpa","NEP","2006",""
"Phurba Kusang I","m","Sherpa","NEP","2006",""
"Stangl","m","","A","2006",""
"Sträng","m","","SWE","2006",""
"Tarke","m","Sherpa","NEP","2006",""
"Topchen (Tapchen Lama) Bhote","m","","NEP","2006",""
"Woolums","m","","USA","2006",""
"Astori","m","","ITA","2006",""
"Piantoni","m","","ITA","2006",""
"Brown","m","","CAN","2006",""
"Chin","m","","USA","2006",""
"Dawa Nuru I (Da Nuru)","m","Sherpa","NEP","2006",""
"Dawa Sona (Da Sonam)","m","Sherpa","NEP","2006",""
"Dawa Tshering Iv","m","Sherpa","NEP","2006",""
"Deslauriers (B Katzenbach)","f","","USA","2006",""
"Deslauriers","m","","USA","2006",""
"Hahn","m","","USA","2006",""
"Kami Ii","m","Sherpa","NEP","2006",""
"Lhakpa Chhiri I (Sonam)","m","Sherpa","NEP","2006",""
"Lhakpa Gelje","m","Sherpa","NEP","2006",""
"Mingma Ongel I (Sonam Gyalzen)","m","Sherpa","NEP","2006",""
"Pasang Tenzing I","m","Sherpa","NEP","2006",""
"Pemba Dorje I","m","Sherpa","NEP","2006",""
"Thapa Magar","m","","NEP","2006","Altitude sickness"
"Tenzing Phinzo","m","Sherpa","NEP","2006","Avalanche"
"Lhakpa Tshering Iii","m","Sherpa","NEP","2006","Avalanche"
"Dawa Temba","m","Sherpa","NEP","2006","Avalanche"
"Krishan","m","","IND","2006","Fall"
"Sharp","m","","UK","2006","Exhaustion"
"Olsson","m","","S","2006","Fall"
"Letrange","m","","F","2006","Exhaustion"
"Negrete","m","","BRA","2006","Exposure"
"Plyushkin","m","","RUS","2006","Altitude sickness"
"Weber","m","","GER","2006","Altitude sickness"
"Lhakpa (La Ba)","m","","CHN","2007",""
"Li","m","","CHN","2007",""
"Ngawang Norbu (Awang Luobo)","m","","CHN","2007",""
"Ngawang Tsering","m","","CHN","2007",""
"Norbu Dhondup (Norbu Zhandu)","m","","CHN","2007",""
"Pema Trinley (Baima Chilie)","m","","CHN","2007",""
"Phurbu (Puba)","m","","CHN","2007",""
"Phurbu Dhondup (Big)","m","","CHN","2007",""
"Phurbu Dhondup (Small)","m","","CHN","2007",""
"Sonam Dondhup","m","","CHN","2007",""
"Tashi Tshering (Zhaxi Ciren) 2","m","","CHN","2007",""
"Tashi Tshering (Zhaxi Ciren) 3","m","","CHN","2007",""
"Tsering Dhondup (Small)","m","","CHN","2007",""
"Wangdu I (Big)","m","","CHN","2007",""
"Ang Kazi","m","Sherpa","NEP","2007",""
"Baltutis","m","","LIT","2007",""
"Beauséjour","m","","CAN","2007",""
"Bhatt","m","","IND","2007",""
"Chhiring Phinzo","m","Sherpa","NEP","2007",""
"Damai Chhiri","m","Sherpa","NEP","2007",""
"Danuru I (Dawa)","m","Sherpa","NEP","2007",""
"Dawa Gyalzen Ii","m","Sherpa","NEP","2007",""
"Dawa Nuru Ii (Dawa Norbu)","m","Sherpa","NEP","2007",""
"Dawa Tshering Iii (Dawa Chhiri)","m","Sherpa","NEP","2007",""
"Dessureault","m","","CAN","2007",""
"Dijmarescu","m","","USA","2007",""
"Hiraga","m","","JAP","2007",""
"Hudek","m","","POL","2007",""
"Ishii","m","","JAP","2007",""
"Jangbu Iv","m","Sherpa","NEP","2007",""
"Kailash Tamang","m","","NEP","2007",""
"Khandagle","m","","IND","2007",""
"Krishna Bahadur Tamang (Jeta)","m","","NEP","2007",""
"Lobsang Ii","m","Sherpa","NEP","2007",""
"Maginelle","m","","BEL","2007",""
"Mingkipa","f","","NEP","2007",""
"Mingma Temba","m","Sherpa","NEP","2007",""
"Nawang Pasang I","m","Sherpa","NEP","2007",""
"Negi","m","","IND","2007",""
"Niemeier","m","","GER","2007",""
"Nima Gyalzen Ii","m","Sherpa","NEP","2007",""
