"Lastname","Gender","Sherpa","Nation","Year","Reason"
"Batard","m","","F","1990",""
"Decamp","m","","F","1990",""
"Janin","f","","F","1990",""
"Nawang Thile (Pemba Dorje)","m","Sherpa","NEP","1990",""
"Sonam Dendu (Sona Dendu)","m","Sherpa","NEP","1990",""
"Tournaire","m","","F","1990",""
"Babu Chiri","m","Sherpa","NEP","1990",""
"Bok","m","","SK","1990",""
"Dawa Sange","m","Sherpa","NEP","1990",""
"Kim","m","","SK","1990",""
"Park","m","","SK","1990",""
"Pemba Dorje I","m","Sherpa","NEP","1990",""
"Gibson","f","","USA","1990",""
"Krasnokutsky","m","","RUS","1990",""
"Phinzo I","m","Sherpa","NEP","1990",""
"Ang Phurba Iii","m","Sherpa","NEP","1990",""
"De Bos","m","","NL","1990",""
"Desez","m","","F","1990",""
"Nima Dorje I (Dorje)","m","Sherpa","NEP","1990",""
"Pivot","m","","F","1990",""
"Roche","m","","F","1990",""
"Roche","m","","F","1990",""
"Jeglič","m","","SLO","1990",""
"Lhakpa Rita I","m","Sherpa","NEP","1990",""
"Štremfelj","m","","SLO","1990",""
"Štremfelj (B Perčič)","f","","SLO","1990",""
"Lang","m","","GER","1991","Exposure"
"Futagami","m","","JAP","1991","Fall"
"Ang Temba Ii","m","Sherpa","NEP","1991",""
"Apa (Appa)","m","Sherpa","NEP","1991",""
"Sonam Dendu (Sona Dendu)","m","Sherpa","NEP","1991",""
"Athans","m","","USA","1991",""
"Ang Dawa I","m","Sherpa","NEP","1991",""
"Dunn","m","","USA","1991",""
"Lhakpa Dorje I","m","Sherpa","NEP","1991",""
"Politz","m","","USA","1991",""
"Simonson","m","","USA","1991",""
"Sloezen","m","","USA","1991",""
"Gyalbu","m","Sherpa","NEP","1991",""
"Mingma Norbu (Nuru)","m","Sherpa","NEP","1991",""
"Viesturs","m","","USA","1991",""
"Laforest","m","","CAN","1991",""
"Richey","m","","USA","1991",""
"Rugo","m","","USA","1991",""
"Wilcox","m","","USA","1991",""
"Perry","m","","NZ","1991",""
"Bonali","m","","ITA","1991",""
"Sulovský","m","","CZE","1991",""
"Cronlund","m","","SWE","1991",""
"Okita","m","","USA","1991",""
"Whetu","m","","NZ","1991",""
"Babu Chiri","m","Sherpa","NEP","1991",""
"Chuldin Temba (Chuldim)","m","Sherpa","NEP","1991",""
"Wilson","m","","USA","1991",""
"Futagami","m","","JAP","1991",""
"Nima Dorje I (Dorje)","m","Sherpa","NEP","1991",""
"Nukita","m","","JAP","1991",""
"Phinzo Norbu (Phinzo)","m","Sherpa","NEP","1991",""
"Garcés","m","","E","1991",""
"Pérez","m","","E","1991",""
"Ubieto","m","","E","1991",""
"Vidaurre","m","","E","1991",""
"Balyberdin","m","","RUS","1991",""
"Bukreev","m","","KAZ","1991",""
"Giutashvili","m","","GEO","1991",""
"Mazur","m","","USA","1991",""
"Kulkarni","m","","IND","1992","Exposure"
"Jacob","m","","IND","1992","Exposure"
"Subba Singh Tamang","m","","NEP","1992","other"
"Singh","m","","IND","1992","Fall"
"Hoshi","m","","JAP","1992","Fall"
"Lal (Pokhriyal)","m","","IND","1992",""
"Sharma","m","","IND","1992",""
"Singh","m","","IND","1992",""
"Gunjyal","m","","IND","1992",""
"Lobsang I","m","Sherpa","IND","1992",""
"Sange Muktuk","m","Sherpa","IND","1992",""
"Wangchuk","m","Sherpa","IND","1992",""
"Yadav","f","","IND","1992",""
"Ang Dawa I","m","Sherpa","NEP","1992",""
"Ang Dorje Ii (Chuldim Dorje)","m","Sherpa","NEP","1992",""
"Apa (Appa)","m","Sherpa","NEP","1992",""
"Baeyens","f","","BEL","1992",""
"Ball","m","","NZ","1992",""
"Cham","m","","CHN","1992",""
"Cotter","m","","NZ","1992",""
"Danta","m","","USA","1992",""
"Erel","m","","ISR","1992",""
"Gillette","m","","USA","1992",""
"Hall","m","","NZ","1992",""
"Mantle","m","","USA","1992",""
"Sonam Tshering I","m","Sherpa","NEP","1992",""
"Tashi Tshering I","m","Sherpa","NEP","1992",""
"Dawa Tashi I","m","Sherpa","NEP","1992",""
"Naar","m","","NL","1992",""
"Nima Temba I","m","Sherpa","NEP","1992",""
"Öfner","m","","NL","1992",""
"Ang Gyalzen I (Gyalzen)","m","Sherpa","NEP","1992",""
"Bowen","m","","USA","1992",""
"Dawa Temba I","m","Sherpa","NEP","1992",""
"Horner","m","","USA","1992",""
"Tejas","m","","USA","1992",""
"Dusharin","m","","RUS","1992",""
"Gerasimov","m","","RUS","1992",""
"Sabelnikov","m","","RUS","1992",""
"Volkov","m","","RUS","1992",""
"Konyukhov","m","","RUS","1992",""
"Penzov","m","","RUS","1992",""
"Vinogradski","m","","RUS","1992",""
"Zakharov","m","","RUS","1992",""
"García-Huidobro","m","","CHL","1992",""
"Jordan","m","","CHL","1992",""
"Montes","m","","CHL","1992",""
"Ang Phuri I","m","Sherpa","NEP","1992",""
"Ang Rita","m","Sherpa","NEP","1992",""
"Purto","m","","CHL","1992",""
"Pratt","m","","UK","1992",""
"Athans","m","","USA","1992",""
"Burleson","m","","USA","1992",""
"Dorje I","m","Sherpa","NEP","1992",""
"Kerr","m","","UK","1992",""
"Lhakpa Rita I","m","Sherpa","NEP","1992",""
"Man Bahadur Tamang (Gopal)","m","","NEP","1992",""
"Morton","m","","USA","1992",""
"Gan","m","","E","1992",""
"Juez","m","","E","1992",""
"Lhakpa Nuru I","m","Sherpa","NEP","1992",""
"Pemba Norbu (Pemba Nuru) Ii","m","Sherpa","NEP","1992",""
"Portilla","m","","E","1992",""
"Egillor","m","","E","1992",""
"Fernández","m","","E","1992",""
"Iñurrategi","m","","E","1992",""
"Iñurrategi","m","","E","1992",""
"Lhakpa Nuru I","m","Sherpa","NEP","1992",""
"Mazzoleni","m","","ITA","1992",""
"Panzeri","m","","ITA","1992",""
"Petigaz","m","","ITA","1992",""
"Royer","m","","F","1992",""
"Chamoux","m","","F","1992",""
"Santin","m","","ITA","1992",""
"Blanc","m","","ITA","1992",""
"Verza","m","","ITA","1992",""
"Bereziartua","m","","E","1992",""
"Berger","m","","LUX","1992",""
"Reparaz","m","","E","1992",""
"Tomás","m","","E","1992",""
"Tous","m","","E","1992",""
"Dujmovits","m","","GER","1992",""
"Sonam Tshering I","m","Sherpa","NEP","1992",""
"Vincent","m","","F","1992",""
"Aubertin","m","","F","1992",""
"Darsney","m","","USA","1992",""
"Defrance","m","","F","1992",""
"Grenier","m","","F","1992",""
"Pelle","m","","F","1992",""
"Roussey","m","","F","1992",""
"Apa (Appa)","m","Sherpa","NEP","1992",""
"Berg","m","","USA","1992",""
"De La Parra","m","","MEX","1992",""
"Kaji (Pasang Kami)","m","Sherpa","NEP","1992",""
"Ortega","m","","PER","1992",""
"Ang Tshering (I)","m","Sherpa","NEP","1993","Fall"
"Pasang Lhamu","f","","NEP","1993","Exhaustion"
"Sonam Tshering","m","Sherpa","NEP","1993","Fall"
"Lobsang Tshering Bhutia","m","","IND","1993","Fall"
"Nam","m","","SK","1993","Fall"
"An","m","","SK","1993","Fall"
"Henize","m","","USA","1993","other"
"Miranda","m","","E","1993","Fall"
"Heo","m","","SK","1993",""
"Ngati","m","Sherpa","NEP","1993",""
"Dawa Tashi I","m","Sherpa","NEP","1993",""
"Lhakpa Nuru I","m","Sherpa","NEP","1993",""
"Nawang Thile (Pemba Dorje)","m","Sherpa","NEP","1993",""
"Pasang Lhamu I","f","","NEP","1993",""
"Pemba Norbu (Pemba Nuru) Ii","m","Sherpa","NEP","1993",""
"Sonam Tshering I","m","Sherpa","NEP","1993",""
"Chimi (Xiao Qimi)","m","","CHN","1993",""
"Kai Zhong (Gyatso)","m","","CHN","1993",""
"Kai Zhong (Khetsun)","m","","CHN","1993",""
"Pubu (Phurbu)","m","","CHN","1993",""
"Wang","m","","CHN","1993",""
"Wu","m","","TAI","1993",""
"Mouralev","m","","RUS","1993",""
"Dolma","f","","IND","1993",""
"Dorje I","m","Sherpa","NEP","1993",""
"Kunga Bhutia","f","","IND","1993",""
"Kunwar","m","","IND","1993",""
"Kusang Dorjee","m","Sherpa","IND","1993",""
"Nga Temba I (Ngatemba)","m","Sherpa","NEP","1993",""
"Ongda Chhiring (Ongda Tshering)","m","Sherpa","NEP","1993",""
"Yadav","f","","IND","1993",""
"Ang Dawa I","m","Sherpa","NEP","1993",""
"Ang Tshering Ii","m","Sherpa","NEP","1993",""
"Choi","f","","SK","1993",""
"Ji","f","","SK","1993",""
"Kim","f","","SK","1993",""
