"Lastname","Nation","Sherpa","Gender","Y"
"Norbu Dhondup (Norbu Zhandu)","CHN","","m","2005"
"Pemba Tshering Iv","NEP","Sherpa","m","2005"
"Phurbu Tsering I","CHN","","m","2005"
"Rosset","ITA","","m","2005"
"Shimada","JAP","","f","2005"
"Smaller (B Sannaes)","NOR","","f","2005"
"Son Dorje","NEP","Sherpa","m","2005"
"Staples","NZ","","m","2005"
"Tashi Thundup (Tashi Thundu)","NEP","Sherpa","m","2005"
"Tenji I (Tenzing)","NEP","Sherpa","m","2005"
"Thumba (Dompa)","CHN","","m","2005"
"Trabucchi","ITA","","m","2005"
"Willis","IRE","","f","2005"
"Dorje Sonam Gyalzen","NEP","Sherpa","m","2006"
"Phurba Tashi","NEP","Sherpa","m","2006"
"Son Dorje","NEP","Sherpa","m","2006"
"Tashi Phinzo 1","CHN","","m","2006"
"Tashi Tshering (Zhaxi Ciren) 3","CHN","","m","2006"
"Tenzing (Den Zeng)","CHN","","m","2006"
"Bagnulo","USA","","m","2006"
"Dawa Nuru Ii (Dawa Norbu)","NEP","Sherpa","m","2006"
"Dijmarescu","USA","","m","2006"
"Kama Chhiring","NEP","Sherpa","m","2006"
"Lakpa","NEP","","f","2006"
"Lee","SK","","m","2006"
"Oh","SK","","m","2006"
"Park","SK","","m","2006"
"Pasang Tharke Ii","NEP","Sherpa","m","2006"
"Sherap Jangbu (Serap Jangbu)","NEP","Sherpa","m","2006"
"Thendorje (Thendu Dorje)","NEP","Sherpa","m","2006"
"Watson","USA","","m","2006"
"Gyaluk (Gyalu Lama)","NEP","Sherpa","m","2006"
"Jackson","USA","","m","2006"
"Ang Kami Iv","NEP","Sherpa","m","2006"
"Bach","CH","","m","2006"
"Chen","CHN","","m","2006"
"Chen","CHN","","m","2006"
"Crouse","USA","","m","2006"
"Dorje Karsang","CHN","","m","2006"
"Golovdorj","MON","","m","2006"
"Hefti","CH","","m","2006"
"Jin","CHN","","m","2006"
"Jin","CHN","","m","2006"
"Karsang Namgyal/Namgel","NEP","Sherpa","m","2006"
"Lobsang Temba","NEP","Sherpa","m","2006"
"Maithani","IND","","m","2006"
"Nawang Dorjey","IND","","m","2006"
"Ngawang Dhondup","CHN","","m","2006"
"Ngawang Norbu (Awang Luobo)","CHN","","m","2006"
"Ngawang Tashi (Awang Zhaxi)","CHN","","m","2006"
"O'connor","USA","","m","2006"
"Ongda Gyalzen","IND","Sherpa","m","2006"
"Pasang Tenzing","IND","Sherpa","m","2006"
"Pema Chhosang","NEP","Sherpa","m","2006"
"Pemba Dhondup (Bianba Dunzhu)","CHN","","m","2006"
"Phinjo (Phuntsok)","CHN","","m","2006"
"Phura Nuru I","NEP","Sherpa","m","2006"
"Phurbu Dhondup (Big)","CHN","","m","2006"
"Rao","CHN","","m","2006"
"Sauls","USA","","m","2006"
"Singh","IND","","m","2006"
"Singh","IND","","m","2006"
"Sri Krishan","IND","","m","2006"
"Tashi Tshering (Zhaxi Ciren) 2","CHN","","m","2006"
"Tashi Tshering (Zhaxi Ciren) 3","CHN","","m","2006"
"Tsering Dorje Ii (Cering Doje)","CHN","","m","2006"
"Tsering Wangmu","CHN","","f","2006"
"Wangchen Sonam (Wangqing Sonam)","CHN","","m","2006"
"Wangchuk","IND","Sherpa","m","2006"
"Wangdu I (Big)","CHN","","m","2006"
"Abenójar","PHI","","m","2006"
"Alexander","NZ","","m","2006"
"Büyükatalay","TUR","","m","2006"
"Chaya","LEB","","m","2006"
"Dorje (Small)","CHN","","m","2006"
"Dorje Khatri","NEP","","m","2006"
"Dorje Sonam Gyalzen","NEP","Sherpa","m","2006"
"Girgin","TUR","","m","2006"
"Hutson","UK","","m","2006"
"Indra Bahadur Rai","NEP","","m","2006"
"Inglis","NZ","","m","2006"
"Kami I (Kame)","NEP","Sherpa","m","2006"
"Kami Singee Tamang","NEP","","m","2006"
"Killip","AUS","","m","2006"
"Lakpa Nuru","NEP","Sherpa","m","2006"
"Lande","RUS","","m","2006"
"Lhakpa Nuru Viii","NEP","Sherpa","m","2006"
"Maviş (B Koç)","TUR","","f","2006"
"Nawang Tenzing Ii (Nawangle)","NEP","Sherpa","m","2006"
"Nima Nuru Ii (Ngima Nuru)","NEP","Sherpa","m","2006"
"Nima Ongdi","NEP","Sherpa","m","2006"
"Pasang Tshering I (Pasang Tshiring)","NEP","Sherpa","m","2006"
"Phurtse (Phurbu Tsering)","CHN","","m","2006"
"Son Dorje","NEP","Sherpa","m","2006"
"Tashi Phinzo 1","CHN","","m","2006"
"Tenzing (Den Zeng)","CHN","","m","2006"
"Tharumalingam","MY","","m","2006"
"Tshering Jangbu","NEP","Sherpa","m","2006"
"Ulkenli","TUR","","m","2006"
"Wangdu Iii (Small)","CHN","","m","2006"
"Whetu","NZ","","m","2006"
"Woodward","NZ","","m","2006"
"Yamashita","JAP","","m","2006"
"Ang Babu (Jimba Zangbu)","NEP","Sherpa","m","2006"
"Ang Tshering Iii","NEP","Sherpa","m","2006"
"Granheim","NOR","","m","2006"
"Jumik Bhote","NEP","","m","2006"
"Jung","SK","","m","2006"
"Kang","SK","","m","2006"
"Kim","SK","","m","2006"
"Kim","SK","","m","2006"
"Kim","SK","","m","2006"
"Ko","SK","","m","2006"
"Lama Babu I","NEP","Sherpa","m","2006"
"Lee","SK","","m","2006"
"Lee","SK","","m","2006"
"Lee","SK","","m","2006"
"Letzter","SWE","","m","2006"
"Lobchong (Lobsang) I","CHN","","m","2006"
"Mingma Thinduk I","NEP","Sherpa","m","2006"
"Nima Dorje V","NEP","Sherpa","m","2006"
"Nima Nuru I (Nima Norbu)","NEP","Sherpa","m","2006"
"Nima Tenji Ii","NEP","Sherpa","m","2006"
"Olsson","SWE","","m","2006"
"Pasang Rita I","NEP","Sherpa","m","2006"
"Pemba Nuru Iii","NEP","Sherpa","m","2006"
"Peme","NEP","Sherpa","m","2006"
"Seo","SK","","m","2006"
"Sundström","SWE","","m","2006"
"Tashi Lhakpa","NEP","Sherpa","m","2006"
"Tenzing Ii (Tenjen)","NEP","Sherpa","m","2006"
"Thilen","NEP","Sherpa","m","2006"
"Tisalema","ECU","","m","2006"
"Tshering Palden (Pande) Bhote","NEP","","m","2006"
"Ali Khan","IND","","m","2006"
"Ang Phurba V","NEP","Sherpa","m","2006"
"Ang Sonam (Pasang Sona)","NEP","Sherpa","m","2006"
"Ang Temba I","NEP","Sherpa","m","2006"
"Arayama","JAP","","m","2006"
"Arnold","CH","","m","2006"
"Buendia","E","","m","2006"
"Bullock","UK","","m","2006"
"Cardo","E","","m","2006"
"Cardona","E","","m","2006"
"Changba Nurbu (Chongba Nuru)","NEP","Sherpa","m","2006"
"Checa","E","","m","2006"
"Cheddar","NEP","Sherpa","m","2006"
"Cool","UK","","m","2006"
"Corrigan","UK","","m","2006"
"Dawa Gyalje (Dawa Gyalzen)","NEP","Sherpa","m","2006"
"Dawa Tenzin (Dawa Tenji)","NEP","Sherpa","m","2006"
"Dawa Tshering Iii (Dawa Chhiri)","NEP","Sherpa","m","2006"
"De Bare De Comogne","BEL","","m","2006"
"Elliot","UK","","m","2006"
"Endo","JAP","","m","2006"
"Escobar","BOL","","m","2006"
"Ferrer","E","","m","2006"
"Flos","E","","m","2006"
"Gauntlett","UK","","m","2006"
"Harrod","UK","","m","2006"
"Hassard","UK","","m","2006"
"Hedrich","F","","m","2006"
"Hill","USA","","m","2006"
"Hodge","UK","","m","2006"
"Hooper","UK","","m","2006"
"Invernizzi","F","","m","2006"
"Jangbu V","NEP","Sherpa","m","2006"
"Jangbu Vi","NEP","Sherpa","m","2006"
"Jijón","ECU","","m","2006"
"Jones","UK","","m","2006"
"Journet","F","","m","2006"
"Kami Iii","NEP","Sherpa","m","2006"
"Kami Rita Ii","NEP","Sherpa","m","2006"
"Kamikomaki","JAP","","m","2006"
"Karsang","NEP","Sherpa","m","2006"
"Kim","SK","","m","2006"
"Kitamura","JAP","","m","2006"
"Kondo","JAP","","m","2006"
"Kumar","IND","","m","2006"
"Kunga","NEP","Sherpa","m","2006"
"Letrange","F","","m","2006"
"Lhakpa I","NEP","Sherpa","m","2006"
"Lhakpa Dorje Iii","NEP","Sherpa","m","2006"
"Lhakpa Tshering Iv (Lhakpa Tshiri)","NEP","Sherpa","m","2006"
"Lila Bahadur Tamang","NEP","","m","2006"
"Martinez","F","","m","2006"
"Mcnaughton","UK","","m","2006"
"Mingma Nuru Ii","NEP","Sherpa","m","2006"
"Mingma Nuru Iv","NEP","Sherpa","m","2006"
"Mingma Temba","NEP","Sherpa","m","2006"
"Namgyal I (Namgya)","NEP","Sherpa","m","2006"
"Nga Tenji","NEP","Sherpa","m","2006"
"Ngima Dorchi","NEP","Sherpa","m","2006"
"Nima Gyalzen Iii","NEP","Sherpa","m","2006"
"Nima Tendu (Nima Thenduk)","NEP","Sherpa","m","2006"
"Ogawa","JAP","","m","2006"
"Oracion","PHI","","m","2006"
"Owen","UK","","m","2006"
"Pasang Kitar (Pasang Kidar)","NEP","Sherpa","m","2006"
"Pasang Tendi Ii","NEP","Sherpa","m","2006"
"Pasang Tenzing Ii","NEP","Sherpa","m","2006"
"Peacock","UK","","m","2006"
"Pema Chhiring (Pema Chhiri)","NEP","Sherpa","m","2006"
"Pemba Chhoti Ii","NEP","Sherpa","m","2006"
"Pemba Gyalzen Iii (Pemba Geljen)","NEP","Sherpa","m","2006"
"Pemba Tenjin","NEP","Sherpa","m","2006"
"Phura Nuru Ii","NEP","Sherpa","m","2006"
"Salter","UK","","m","2006"
"Sangay Furi","IND","Sherpa","m","2006"
"Shin","SK","","m","2006"
"Shtirmer","ISR","","m","2006"
"Singh","IND","","m","2006"
"Sonam Dorje","NEP","Sherpa","m","2006"
"Tashi Chhiring","NEP","Sherpa","m","2006"
"Temba I","NEP","Sherpa","m","2006"
"Thundu","NEP","Sherpa","m","2006"
"Tul Bahadur Tamang","NEP","","m","2006"
"Welsh","UK","","m","2006"
"Yajima","JAP","","m","2006"
"Yamada","JAP","","m","2006"
"Adamski","POL","","m","2006"
"Ang Pemba I","NEP","Sherpa","m","2006"
"Botha","CAN","","m","2006"
"Bouchet","F","","m","2006"
"Brocklebank","UK","","f","2006"
"Büel","CH","","m","2006"
"Calafat","E","","m","2006"
"Carrey","CAN","","m","2006"
"Chewang Dorje Ii","NEP","Sherpa","m","2006"
"Clement","USA","","m","2006"
"Clowes","UK","","m","2006"
"Clowes","UK","","m","2006"
"Da Gelje","NEP","Sherpa","m","2006"
"Da Nima","NEP","Sherpa","m","2006"
"Dawa Chhiri Ii (Dawa Tsiri)","NEP","Sherpa","m","2006"
"Dawa Nuru I (Da Nuru)","NEP","Sherpa","m","2006"
"Dayula","NEP","Sherpa","m","2006"
"Deechen Narjup (Dechen Ngodup)","CHN","","m","2006"
"Diego","E","","m","2006"
"Dorje I","NEP","Sherpa","m","2006"
"Dorje Lama","NEP","Sherpa","m","2006"
"Emata","PHI","","m","2006"
"Ermachek","RUS","","m","2006"
"Falahey","AUS","","m","2006"
"Feijoo","E","","m","2006"
"Flock","GER","","m","2006"
"Fojtík","CZE","","m","2006"
"Garcia","USA","","m","2006"
"Garranzo","E","","m","2006"
"Imparato","F","","m","2006"
"Julen","CH","","m","2006"
"Kami Tshering (Ang Chhiring)","NEP","Sherpa","m","2006"
"Karma Gyalzen Ii","NEP","Sherpa","m","2006"
"Karma Rita","NEP","Sherpa","m","2006"
"Kobielski","POL","","m","2006"
"Kwak","SK","","f","2006"
"Laserer","A","","m","2006"
"Lee","SK","","m","2006"
"Lhakpa V","NEP","Sherpa","m","2006"
"Lhakpa Gyalzen Ii","NEP","Sherpa","m","2006"
"Lhakpa Nurbu","NEP","Sherpa","m","2006"
"Lhakpa Thundu I","NEP","Sherpa","m","2006"
"Lhakpa Tshering Ii (Lhakpa Chhiring)","NEP","Sherpa","m","2006"
"Martín-Sanz","E","","m","2006"
"Mcguinness","NZ","","m","2006"
"Merle","USA","","m","2006"
"Mingma Tshering Iv","NEP","Sherpa","m","2006"
"Muktu Lhakpa","NEP","Sherpa","m","2006"
"Namgyal Ii","NEP","Sherpa","m","2006"
"Negrete","BRA","","m","2006"
"Nima Kancha I","NEP","Sherpa","m","2006"
"Nima Karma","NEP","Sherpa","m","2006"
"Norbu Dhondup (Norbu Zhandu)","CHN","","m","2006"
"Ogrodnik","POL","","m","2006"
"Olivieri","E","","m","2006"
"Pacey","AUS","","m","2006"
"Park","SK","","m","2006"
"Pasang Dawa I (Pa Dawa, Pando)","NEP","Sherpa","m","2006"
"Pasang Nuru Ii (Ang Nuru, Ang Nurbu)","NEP","Sherpa","m","2006"
"Pasang Nuru Iii","NEP","Sherpa","m","2006"
"Pasang Temba Iv","NEP","Sherpa","m","2006"
"Pemba Nuru Ii (Kaila)","NEP","Sherpa","m","2006"
"Pemba Rinji Ii","NEP","Sherpa","m","2006"
"Pérez","E","","m","2006"
"Phur Tenji","NEP","Sherpa","m","2006"
"Pomfret","UK","","m","2006"
"Riggs","USA","","f","2006"
"Samduk (Sanduk) Dorje Tamang","NEP","","m","2006"
"Sanderson (B Cooney)","UK","","f","2006"
"Sanderson","UK","","m","2006"
"Selamolela","SA","","m","2006"
"Squirrell","AUS","","m","2006"
"Temba Ii","NEP","Sherpa","m","2006"
"Tenzing Dorje","NEP","Sherpa","m","2006"
"Tshering Namgyal (Ang Namgyal)","NEP","Sherpa","m","2006"
"Wojciechowska","POL","","f","2006"
"Yaniv","ISR","","m","2006"
"Yifrah","ISR","","m","2006"
"Załuski","POL","","m","2006"
"Ang Dorje Ii (Chuldim Dorje)","NEP","Sherpa","m","2006"
"Ang Pasang Iii","NEP","Sherpa","m","2006"
"Apa (Appa)","NEP","Sherpa","m","2006"
"Bell","UK","","m","2006"
"Boscarioli (B Teixeira)","BRA","","f","2006"
"Chandler","UK","","m","2006"
"Cotter","NZ","","m","2006"
"Danenberg","USA","","f","2006"
"Dawa Jangbu I (Da Jangbu I)","NEP","Sherpa","m","2006"
"Garduce","PHI","","m","2006"
"Harvey","NZ","","m","2006"
"Kim","USA","","m","2006"
"Kuo","TAI","","m","2006"
"Lee","SK","","m","2006"
"Lhakpa Chhiri I (Sonam)","NEP","Sherpa","m","2006"
"Lhakpa Dorje Iv","NEP","Sherpa","m","2006"
"Lhakpa Nuru V","NEP","Sherpa","m","2006"
"Lhakpa Rangdu","NEP","Sherpa","m","2006"
"Mingma Tshering Iii (Mingma Chhiring)","NEP","Sherpa","m","2006"
"Nawang Lhakpa (Ngawang Lhakpa)","NEP","Sherpa","m","2006"
"Panuru (Pasang Nuru, Pa Nuru)","NEP","Sherpa","m","2006"
"Pasang Iv (Pasang Gyalzen)","NEP","Sherpa","m","2006"
"Pasang V","NEP","Sherpa","m","2006"
"Pasang Bhote I (Pasang Lama Bhote)","NEP","","m","2006"
"Pasang Temba Ii","NEP","Sherpa","m","2006"
"Phu Tashi I","NEP","Sherpa","m","2006"
"Saunders","UK","","m","2006"
"Staples","NZ","","m","2006"
"Tashi Thundup (Tashi Thundu)","NEP","Sherpa","m","2006"
"Thile Nurbu (Thile Nuru)","NEP","Sherpa","m","2006"
"Ang Chuldim","NEP","Sherpa","m","2006"
"Bounthiyal","IND","","m","2006"
"Chuwang Nima (Chhewang Nima)","NEP","Sherpa","m","2006"
"Dahal","IND","","m","2006"
"Dawa Nuru Iii (Danuru)","NEP","Sherpa","m","2006"
"Dharmshaktu","IND","","m","2006"
"Kami Rita I (Topke)","NEP","Sherpa","m","2006"
"Koranga","IND","","m","2006"
"Lhakpa Rita I","NEP","Sherpa","m","2006"
"Lohia","IND","","m","2006"
"Mingma Chhiri I (Mingma Chhiring)","NEP","Sherpa","m","2006"
"Mingma Tenzing Ii","NEP","Sherpa","m","2006"
"Moro","ITA","","m","2006"
"Morton","USA","","m","2006"
"Nance","USA","","f","2006"
"Nichols","USA","","m","2006"
"Nima Kancha Ii","NEP","Sherpa","m","2006"
"Nima Tshering I (Ngima Chhiri)","NEP","Sherpa","m","2006"
"Pemba Tshering Iv","NEP","Sherpa","m","2006"
"Phura Kancha (Fur Kancha)","NEP","Sherpa","m","2006"
"Pirenne","BEL","","m","2006"
"Rawat","IND","","m","2006"
"Rita Dorje (Ang Rita Dorje)","NEP","Sherpa","m","2006"
"Sutcliffe","UK","","m","2006"
"Tejas","USA","","m","2006"
"Thukten Dorje","NEP","Sherpa","m","2006"
"Tshering Dorje I","NEP","Sherpa","m","2006"
"Tshering Phinjo","NEP","Sherpa","m","2006"
"Walsh","USA","","f","2006"
"Winkler","A","","m","2006"
"Ang Pemba Ii","NEP","Sherpa","m","2006"
"Chhiri (Ang Chiring)","NEP","Sherpa","m","2006"
"Dawa Tenzing Iii","NEP","Sherpa","m","2006"
"Faulkner","UK","","m","2006"
"Gariano","UK","","m","2006"
"Hanna","UK","","m","2006"
"Kagan","BLR","","m","2006"
"Karma Gyalzen Iii","NEP","Sherpa","m","2006"
"Kofanov","RUS","","m","2006"
"Lhakpa Nuru Ii","NEP","Sherpa","m","2006"
"Lindaas","USA","","m","2006"
"Lutov","BLR","","m","2006"
"Madison","USA","","m","2006"
"Malli","IND","","m","2006"
"Mingma Dorje Vii","NEP","Sherpa","m","2006"
"Mingma Gelu","NEP","Sherpa","m","2006"
"Nima I","NEP","Sherpa","m","2006"
"Olsen","DK","","m","2006"
"Pasang Gyalzen I","NEP","Sherpa","m","2006"
"Pasang Temba Iii (Pasang)","NEP","Sherpa","m","2006"
"Richards (B Eichner)","USA","","f","2006"
"Richards","USA","","m","2006"
"Rinjen","NEP","Sherpa","m","2006"
"Rouan","UK","","m","2006"
"Ryzhenko","RUS","","m","2006"
"Stern","USA","","m","2006"
"Sutherland","UK","","m","2006"
"Svergun","UKR","","m","2006"
"Tenji I (Tenzing)","NEP","Sherpa","m","2006"
"Tshering Tashi I","NEP","Sherpa","m","2006"
"Wangchu Ii","NEP","Sherpa","m","2006"
"Wheatley","UK","","m","2006"
"Dawa Ii","NEP","Sherpa","m","2006"
"Adler (B Harrington)","AUS","","f","2006"
"Ang Karma Ii","NEP","Sherpa","m","2006"
"Ang Namgyal","NEP","Sherpa","m","2006"
"Ang Phuri Gyalzen","NEP","Sherpa","m","2006"
"Arita","NEP","Sherpa","m","2006"
"Cross","USA","","m","2006"
"Dawa Nurbu I (Danuru)","NEP","Sherpa","m","2006"
"Dawa Nuru Iii (Danuru)","NEP","Sherpa","m","2006"
"Doma Chhiri","NEP","Sherpa","m","2006"
"Hahn","USA","","m","2006"
"Kellner","USA","","m","2006"
"Khoo","SIN","","m","2006"
"Lhakpa Nuru Ix","NEP","Sherpa","m","2006"
"Loh","MY","","m","2006"
"Mingma Ongel I (Sonam Gyalzen)","NEP","Sherpa","m","2006"
"Nawang Pasang Ii","NEP","Sherpa","m","2006"
"Nga Temba I (Ngatemba)","NEP","Sherpa","m","2006"
"Pasang Nuru I (Nawang Lobsang)","NEP","Sherpa","m","2006"
"Pasang Rinji I","NEP","Sherpa","m","2006"
"Phinzo Ii (Phinjo)","NEP","Sherpa","m","2006"
"Smith","USA","","f","2006"
"Tel'puk","BLR","","m","2006"
"Totmyanin","RUS","","m","2006"
"Tumminello","USA","","m","2006"
"Ang Phuri Ii (Phuri)","NEP","Sherpa","m","2006"
"Benítez","USA","","m","2006"
"Chhepi (Chumbi) Bhote","NEP","","m","2006"
"Cihan","TUR","","m","2006"
"De La Harpe","SA","","m","2006"
"Disney","SA","","m","2006"
"Follows","CAN","","m","2006"
"Gagne","USA","","m","2006"
"Griffith","CAN","","m","2006"
"Lhakpa Ii","NEP","Sherpa","m","2006"
"Lhakpa Nuru Viii","NEP","Sherpa","m","2006"
"Lhakpa Tenzing Ii","NEP","Sherpa","m","2006"
"Lhakpa Tharke","NEP","Sherpa","m","2006"
"Lhakpa Tshering Vi","NEP","Sherpa","m","2006"
"Maviş","TUR","","m","2006"
"Maya","NEP","","f","2006"
"Moffat","NZ","","m","2006"
"Morley","UK","","m","2006"
"Nang Chombi (Nang Chhemi)","NEP","Sherpa","m","2006"
"Nawang Karsang Ii","NEP","Sherpa","m","2006"
"Negi","IND","","m","2006"
"Nima Nuru Ii (Ngima Nuru)","NEP","Sherpa","m","2006"
"Ozmine","TUR","","f","2006"
"Pasang Bhote Ii","NEP","","m","2006"
"Pasang Gelu I","NEP","Sherpa","m","2006"
"Pasang Tenzing I","NEP","Sherpa","m","2006"
"Pemba Chhoti I","NEP","Sherpa","m","2006"
"Pemba Dorje I","NEP","Sherpa","m","2006"
"Pemba Gyalzen I (Pemba Gyalje)","NEP","Sherpa","m","2006"
"Pemba Gyalzen Iv","NEP","Sherpa","m","2006"
"Pemba Gyalzen V","NEP","Sherpa","m","2006"
"Phurba Ridar Bhote","NEP","","m","2006"
"Phurba Temba I (Lama Thami)","NEP","Sherpa","m","2006"
"Poçan","TUR","","f","2006"
"Poçan","TUR","","m","2006"
"Sandling","UK","","f","2006"
"Sange Dorje","NEP","Sherpa","m","2006"
"Sonam Bhote","NEP","","m","2006"
"Stanmore","CAN","","m","2006"
"Tashi Tendu","NEP","Sherpa","m","2006"
"Tashi Tshering I","NEP","Sherpa","m","2006"
"Yilmaz","TUR","","f","2006"
"Bagley","USA","","f","2006"
"Calder","UK","","m","2006"
"Casserley","UK","","m","2006"
"Chewang Palden","NEP","Sherpa","m","2006"
"Colquhoun","AUS","","m","2006"
"Crausaz","ECU","","m","2006"
"Dawa Gyalzen I (Da Gyalzen)","NEP","Sherpa","m","2006"
"Dawa Tenjen","NEP","Sherpa","m","2006"
"Dorje Vi","NEP","Sherpa","m","2006"
"Frankelius","SWE","","m","2006"
"Hall","AUS","","m","2006"
"Hayes","UK","","m","2006"
"Jangbu Vii","NEP","Sherpa","m","2006"
"Kami Iv","NEP","Sherpa","m","2006"
"Klinke","USA","","m","2006"
"Lakcha Sange","NEP","Sherpa","m","2006"
"Lhakpa Thundu I","NEP","Sherpa","m","2006"
"Mindu Chhiri","NEP","Sherpa","m","2006"
"Nima Chhiri","NEP","Sherpa","m","2006"
"Parmenter","USA","","f","2006"
"Pasang Dawa I (Pa Dawa, Pando)","NEP","Sherpa","m","2006"
"Pasang Gelu Ii","NEP","Sherpa","m","2006"
"Pasang Gombu","NEP","Sherpa","m","2006"
"Pemba Nurbu I","NEP","Sherpa","m","2006"
"Pemba Rinjin","NEP","Sherpa","m","2006"
"Pemba Tshering Iii (Pemba Chhiri)","NEP","Sherpa","m","2006"
"Phurba Kusang I","NEP","Sherpa","m","2006"
"Stangl","A","","m","2006"
"Sträng","SWE","","m","2006"
"Tarke","NEP","Sherpa","m","2006"
"Topchen (Tapchen Lama) Bhote","NEP","","m","2006"
"Woolums","USA","","m","2006"
"Astori","ITA","","m","2006"
"Piantoni","ITA","","m","2006"
"Brown","CAN","","m","2006"
"Chin","USA","","m","2006"
"Dawa Nuru I (Da Nuru)","NEP","Sherpa","m","2006"
"Dawa Sona (Da Sonam)","NEP","Sherpa","m","2006"
"Dawa Tshering Iv","NEP","Sherpa","m","2006"
"Deslauriers (B Katzenbach)","USA","","f","2006"
"Deslauriers","USA","","m","2006"
"Hahn","USA","","m","2006"
"Kami Ii","NEP","Sherpa","m","2006"
"Lhakpa Chhiri I (Sonam)","NEP","Sherpa","m","2006"
"Lhakpa Gelje","NEP","Sherpa","m","2006"
"Mingma Ongel I (Sonam Gyalzen)","NEP","Sherpa","m","2006"
"Pasang Tenzing I","NEP","Sherpa","m","2006"
"Pemba Dorje I","NEP","Sherpa","m","2006"
"Dorje Sonam Gyalzen","NEP","Sherpa","m","2007"
"Lakpa Nuru","NEP","Sherpa","m","2007"
"Lhakpa Nuru Iv","NEP","Sherpa","m","2007"
"Phurba Tashi","NEP","Sherpa","m","2007"
"Pivtsov","KAZ","","m","2007"
"Son Dorje","NEP","Sherpa","m","2007"
"Zhumayev","KAZ","","m","2007"
"Phurba Chhoter","NEP","Sherpa","m","2007"
"Tshering Dorje Ii (Chhiring Dorje)","NEP","Sherpa","m","2007"
"Pemba Dorje Ii","NEP","Sherpa","m","2007"
"Phurba Tenji","NEP","Sherpa","m","2007"
"Chimi (Xiao Qimi)","CHN","","m","2007"
"Dachung (Daqiong)","CHN","","m","2007"
"Gyalha","CHN","","m","2007"
"Kai Zhong (Khetsun)","CHN","","m","2007"
"Lhakpa (La Ba)","CHN","","m","2007"
"Li","CHN","","m","2007"
"Ngawang Norbu (Awang Luobo)","CHN","","m","2007"
"Ngawang Tsering","CHN","","m","2007"
"Norbu Dhondup (Norbu Zhandu)","CHN","","m","2007"
"Pema Trinley (Baima Chilie)","CHN","","m","2007"
"Phurbu (Puba)","CHN","","m","2007"
"Phurbu Dhondup (Big)","CHN","","m","2007"
"Phurbu Dhondup (Small)","CHN","","m","2007"
"Sonam Dondhup","CHN","","m","2007"
"Tashi Tshering (Zhaxi Ciren) 2","CHN","","m","2007"
"Tashi Tshering (Zhaxi Ciren) 3","CHN","","m","2007"
"Tsering Dhondup (Small)","CHN","","m","2007"
"Wangdu I (Big)","CHN","","m","2007"
"Ang Kazi","NEP","Sherpa","m","2007"
"Baltutis","LIT","","m","2007"
"Beauséjour","CAN","","m","2007"
"Bhatt","IND","","m","2007"
"Chhiring Phinzo","NEP","Sherpa","m","2007"
"Damai Chhiri","NEP","Sherpa","m","2007"
"Danuru I (Dawa)","NEP","Sherpa","m","2007"
"Dawa Gyalzen Ii","NEP","Sherpa","m","2007"
"Dawa Nuru Ii (Dawa Norbu)","NEP","Sherpa","m","2007"
"Dawa Tshering Iii (Dawa Chhiri)","NEP","Sherpa","m","2007"
"Dessureault","CAN","","m","2007"
"Dijmarescu","USA","","m","2007"
"Hiraga","JAP","","m","2007"
"Hudek","POL","","m","2007"
"Ishii","JAP","","m","2007"
"Jangbu Iv","NEP","Sherpa","m","2007"
"Kailash Tamang","NEP","","m","2007"
"Khandagle","IND","","m","2007"
"Krishna Bahadur Tamang (Jeta)","NEP","","m","2007"
"Lobsang Ii","NEP","Sherpa","m","2007"
"Maginelle","BEL","","m","2007"
"Mingkipa","NEP","","f","2007"
"Mingma Temba","NEP","Sherpa","m","2007"
"Nawang Pasang I","NEP","Sherpa","m","2007"
"Negi","IND","","m","2007"
"Niemeier","GER","","m","2007"
"Nima Gyalzen Ii","NEP","Sherpa","m","2007"
"Noguchi","JAP","","m","2007"
"Ohkura","JAP","","m","2007"
"Ohyama","JAP","","m","2007"
"Palden Nima","NEP","Sherpa","m","2007"
"Pasang Kitar (Pasang Kidar)","NEP","Sherpa","m","2007"
"Pasang Phutar","NEP","Sherpa","m","2007"
"Pasang Rita I","NEP","Sherpa","m","2007"
"Pasang Tamang","NEP","","m","2007"
"Patil","IND","","m","2007"
"Pema Tsering (Baima Tseren)","CHN","","m","2007"
"Pemba Chhuti (Pemba Chhoti)","NEP","Sherpa","m","2007"
"Pemba Dorje Ii","NEP","Sherpa","m","2007"
"Pemba Gyalzen Ii","NEP","Sherpa","m","2007"
"Phura Temba","NEP","Sherpa","m","2007"
"Phurba Chhiri (Phurba Tshering)","NEP","Sherpa","m","2007"
"Phurba Namgyal","NEP","Sherpa","m","2007"
"Phurba Tashi","NEP","Sherpa","m","2007"
"Severis","UK","","m","2007"
"Singh","IND","","m","2007"
"Tait","UK","","m","2007"
"Tant","BEL","","m","2007"
"Tashi I","NEP","Sherpa","m","2007"
"Tojo","JAP","","m","2007"
"Tshering Angchok","IND","","m","2007"
"Tshering Dorje Ii (Chhiring Dorje)","NEP","Sherpa","m","2007"
"Tsuboi","JAP","","m","2007"
"Vandewege","BEL","","m","2007"
"Adams","UK","","m","2007"
"An","CHN","","m","2007"
"Ang Dawa Iv","NEP","Sherpa","m","2007"
"Ang Pasang Iii","NEP","Sherpa","m","2007"
"Ang Pemba I","NEP","Sherpa","m","2007"
