"Lastname","Nation","Sherpa","Gender","Y"
"Decamp","F","","m","1990"
"Janin","F","","f","1990"
"Nawang Thile (Pemba Dorje)","NEP","Sherpa","m","1990"
"Sonam Dendu (Sona Dendu)","NEP","Sherpa","m","1990"
"Tournaire","F","","m","1990"
"Babu Chiri","NEP","Sherpa","m","1990"
"Bok","SK","","m","1990"
"Dawa Sange","NEP","Sherpa","m","1990"
"Kim","SK","","m","1990"
"Park","SK","","m","1990"
"Pemba Dorje I","NEP","Sherpa","m","1990"
"Gibson","USA","","f","1990"
"Krasnokutsky","RUS","","m","1990"
"Phinzo I","NEP","Sherpa","m","1990"
"Ang Phurba Iii","NEP","Sherpa","m","1990"
"De Bos","NL","","m","1990"
"Desez","F","","m","1990"
"Nima Dorje I (Dorje)","NEP","Sherpa","m","1990"
"Pivot","F","","m","1990"
"Roche","F","","m","1990"
"Roche","F","","m","1990"
"Jeglič","SLO","","m","1990"
"Lhakpa Rita I","NEP","Sherpa","m","1990"
"Štremfelj","SLO","","m","1990"
"Štremfelj (B Perčič)","SLO","","f","1990"
"Ang Temba Ii","NEP","Sherpa","m","1991"
"Apa (Appa)","NEP","Sherpa","m","1991"
"Sonam Dendu (Sona Dendu)","NEP","Sherpa","m","1991"
"Athans","USA","","m","1991"
"Ang Dawa I","NEP","Sherpa","m","1991"
"Dunn","USA","","m","1991"
"Lhakpa Dorje I","NEP","Sherpa","m","1991"
"Politz","USA","","m","1991"
"Simonson","USA","","m","1991"
"Sloezen","USA","","m","1991"
"Gyalbu","NEP","Sherpa","m","1991"
"Mingma Norbu (Nuru)","NEP","Sherpa","m","1991"
"Viesturs","USA","","m","1991"
"Laforest","CAN","","m","1991"
"Richey","USA","","m","1991"
"Rugo","USA","","m","1991"
"Wilcox","USA","","m","1991"
"Perry","NZ","","m","1991"
"Bonali","ITA","","m","1991"
"Sulovský","CZE","","m","1991"
"Cronlund","SWE","","m","1991"
"Okita","USA","","m","1991"
"Whetu","NZ","","m","1991"
"Babu Chiri","NEP","Sherpa","m","1991"
"Chuldin Temba (Chuldim)","NEP","Sherpa","m","1991"
"Wilson","USA","","m","1991"
"Futagami","JAP","","m","1991"
"Nima Dorje I (Dorje)","NEP","Sherpa","m","1991"
"Nukita","JAP","","m","1991"
"Phinzo Norbu (Phinzo)","NEP","Sherpa","m","1991"
"Garcés","E","","m","1991"
"Pérez","E","","m","1991"
"Ubieto","E","","m","1991"
"Vidaurre","E","","m","1991"
"Balyberdin","RUS","","m","1991"
"Bukreev","KAZ","","m","1991"
"Giutashvili","GEO","","m","1991"
"Mazur","USA","","m","1991"
"Lal (Pokhriyal)","IND","","m","1992"
"Sharma","IND","","m","1992"
"Singh","IND","","m","1992"
"Gunjyal","IND","","m","1992"
"Lobsang I","IND","Sherpa","m","1992"
"Sange Muktuk","IND","Sherpa","m","1992"
"Wangchuk","IND","Sherpa","m","1992"
"Yadav","IND","","f","1992"
"Ang Dawa I","NEP","Sherpa","m","1992"
"Ang Dorje Ii (Chuldim Dorje)","NEP","Sherpa","m","1992"
"Apa (Appa)","NEP","Sherpa","m","1992"
"Baeyens","BEL","","f","1992"
"Ball","NZ","","m","1992"
"Cham","CHN","","m","1992"
"Cotter","NZ","","m","1992"
"Danta","USA","","m","1992"
"Erel","ISR","","m","1992"
"Gillette","USA","","m","1992"
